sever fault fault-pron class,empir analysi object-ori design,analysi object-ori design metric,object-ori design metric predict,design metric predict high,metric predict high low,predict high low sever,high low sever fault,low sever fault last,sever fault last decad,fault last decad empir,last decad empir studi,decad empir studi object-ori,empir studi object-ori design,studi object-ori design metric,object-ori design metric shown,design metric shown use,metric shown use predict,shown use predict fault-pron,use predict fault-pron class,predict fault-pron class object-ori,fault-pron class object-ori softwar,class object-ori softwar system,object-ori softwar system thi,softwar system thi research,system thi research howev,thi research howev distinguish,research howev distinguish among,howev distinguish among fault,distinguish among fault accord,among fault accord sever,fault accord sever impact,accord sever impact would,sever impact would valuabl,impact would valuabl know,would valuabl know object-ori,valuabl know object-ori design,know object-ori design metric,object-ori design metric class,design metric class fault-pron,metric class fault-pron relat,class fault-pron relat fault,fault-pron relat fault sever,relat fault sever taken,fault sever taken account,sever taken account thi,taken account thi paper,account thi paper use,thi paper use logist,paper use logist regress,use logist regress machin,logist regress machin learn,machin learn method empir,learn method empir investig,method empir investig use,empir investig use object-ori,investig use object-ori design,object-ori design metric specif,design metric specif subset,chidamb kemer suit predict,kemer suit predict fault-pron,suit predict fault-pron take,predict fault-pron take fault,fault-pron take fault sever,take fault sever account,fault sever account result,sever account result base,account result base public,data set indic design,set indic design metric,indic design metric statist,design metric statist relat,metric statist relat fault-pron,statist relat fault-pron class,relat fault-pron class across,fault-pron class across fault,class across fault sever,across fault sever predict,fault sever predict capabl,sever predict capabl investig,predict capabl investig metric,capabl investig metric greatli,investig metric greatli depend,metric greatli depend sever,greatli depend sever fault,depend sever fault specif,sever fault specif design,fault specif design metric,specif design metric abl,design metric abl predict,metric abl predict low,abl predict low sever,predict low sever fault,low sever fault fault-pron,fault fault-pron class better,fault-pron class better high,class better high sever,better high sever fault,high sever fault fault-pron,regress machin learn method,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
