document,word,frequency
all,s i n o,52
all,i n o g,20
all,n o g r,34
all,o g r a,2366
all,g r a m,2062
all,r a m -,87
all,a m - b,74
all,m - b a,155
all,- b a s,2479
all,b a s m,228
all,a s m o,91
all,s m o t,76
all,m o t i,848
all,o t i o,796
all,t i o n,5035
all,i o n c,610
all,o n c o,903
all,n c o r,862
all,c o r r,5637
all,o r r e,6520
all,r r e c,5000
all,r e c t,5436
all,e c t p,2252
all,c t p e,316
all,t p e t,104
all,p e t i,135
all,e t i m,527
all,t i m a,1132
all,i m a g,2379
all,m a g u,67
all,a g u s,125
all,g u s e,345
all,u s e o,337
all,s e o p,154
all,e o p t,142
all,o p t i,1975
all,p t i c,349
all,t i c m,122
all,i c m o,218
all,c m o t,165
all,i o n t,402
all,o n t r,4475
all,n t r a,1198
all,t r a c,1901
all,r a c k,575
all,a c k s,276
all,c k s y,145
all,k s y s,236
all,s y s t,13387
all,y s t e,13424
all,s t e m,13486
all,t e m l,266
all,e m l i,65
all,m l i s,19
all,l i s t,623
all,i s t -,24
all,s t - m,18
all,t - m o,29
all,- m o d,173
all,m o d d,29
all,o d d a,38
all,d d a t,269
all,d a t a,4982
all,a t a a,410
all,t a a c,160
all,a a c q,128
all,a c q u,431
all,c q u i,433
all,q u i s,259
all,u i s i,252
all,i s i t,323
all,s i t h,212
all,i t h e,433
all,t h e a,134
all,h e a d,801
all,e a d m,113
all,a d m o,82
all,d m o t,76
all,i o n d,415
all,o n d u,667
all,n d u r,95
all,d u r e,1141
all,u r e b,18
all,r e b r,12
all,e b r a,85
all,b r a i,143
all,r a i n,1314
all,a i n i,285
all,i n i m,1137
all,n i m a,232
all,m a g h,55
all,a g h a,55
all,g h a r,45
all,h a r e,369
all,a r e c,226
all,r e c o,3665
all,e c o g,547
all,c o g n,584
all,o g n s,16
all,g n s o,40
all,n s o u,166
all,s o u r,1636
all,o u r c,1688
all,u r c i,129
all,r c i m,43
all,c i m a,159
all,m a g d,186
all,a g d e,254
all,g d e g,13
all,d e g r,717
all,e g r a,586
all,g r a d,661
all,r a d i,1557
all,a d i n,163
all,d i n t,409
all,i n t r,1871
all,n t r o,5225
all,t r o d,1250
all,r o d u,2461
all,o d u c,2461
all,d u c d,232
all,u c d i,68
all,c d i s,238
all,d i s t,3831
all,i s t o,1101
all,s t o r,1598
all,t o r t,839
all,o r t p,334
all,r t p o,55
all,t p o s,331
all,p o s i,1297
all,o s i t,1299
all,s i t r,213
all,i t r o,71
all,t r o n,836
all,r o n e,655
all,o n e m,270
all,n e m i,69
all,e m i s,233
all,m i s s,1930
all,i s s t,129
all,s s t o,111
all,s t o m,288
all,t o m o,297
all,o m o g,156
all,m o g r,102
all,g r a p,905
all,r a p h,894
all,a p h i,386
all,p h i p,42
all,h i p e,107
all,i p e t,55
all,m a g s,237
all,a g s e,188
all,g s e v,39
all,s e v e,1323
all,e v e r,1771
all,v e r t,1154
all,e r t e,773
all,r t e c,633
all,t e c h,5336
all,e c h n,5249
all,c h n i,4088
all,h n i q,3977
all,n i q u,4095
all,i q u c,286
all,q u c o,250
all,u c o r,205
all,e c t m,1830
all,c t m o,873
all,t m o t,590
all,i o n a,739
all,o n a r,381
all,n a r t,70
all,a r t i,2192
all,r t i f,573
all,t i f a,487
all,i f a c,386
all,f a c t,1659
all,a c t t,229
all,c t t e,771
all,t t e c,1167
all,u r e s,438
all,r e s c,137
all,e s c a,149
all,s c a n,679
all,c a n a,246
all,a n a i,7
all,n a i m,29
all,a i m t,76
all,i m t h,177
all,m t h i,1179
all,t h i s,771
all,h i s t,575
all,i s t u,682
all,s t u d,2454
all,t u d i,2418
all,u d i d,170
all,d i d e,243
all,i d e v,354
all,d e v e,3128
all,e v e l,5152
all,v e l o,3208
all,e l o p,3142
all,l o p s,321
all,o p s i,86
all,p s i n,27
all,e c t s,2515
all,c t s b,2
all,t s b m,2
all,s b m c,6
all,b m c m,2
all,m c m e,18
all,c m e t,256
all,m e t h,7308
all,e t h o,7180
all,t h o d,7147
all,h o d c,497
all,o d c o,472
all,d c o r,273
all,e c t d,2054
all,c t d i,656
all,t d i r,132
all,d i r e,965
all,i r e c,1128
all,e c t l,1011
all,c t l i,671
all,t l i h,37
all,l i h e,21
all,i h e a,37
all,u r e p,183
all,r e p e,187
all,e p e t,81
all,p e t s,72
all,e t s c,94
all,t s c a,354
all,c a n u,10
all,a n u s,77
all,n u s e,739
all,u s e m,876
all,s e m o,391
all,e m o t,397
all,s i t t,138
all,i t t h,327
all,t t h i,2397
all,t h i m,724
all,h i m e,444
all,i m e t,1185
all,h o d r,305
all,o d r e,394
all,d r e b,6
all,r e b i,165
all,e b i n,63
all,b i n p,89
all,i n p r,526
all,n p r o,1347
all,p r o c,4997
all,r o c e,4991
all,o c e d,433
all,c e d u,440
all,e d u r,498
all,d u r l,9
all,u r l i,77
all,r l i n,248
all,l i n e,2481
all,i n e r,391
all,n e r e,290
all,e r e s,844
all,r e s p,1591
all,e s p o,975
all,s p o n,971
all,p o n s,722
all,o n s l,22
all,n s l o,42
all,s l o r,6
all,l o r g,27
all,o r g e,92
all,r g e o,78
all,g e o m,325
all,e o m e,321
all,o m e t,821
all,m e t r,1694
all,e t r t,39
all,t r t r,35
all,r t r a,1079
all,t r a n,4999
all,r a n s,4788
all,a n s f,1400
all,n s f o,1191
all,s f o r,1259
all,f o r m,9624
all,o r m a,2054
all,r m a c,424
all,m a c c,224
all,a c c o,1086
all,c c o r,602
all,c o r d,969
all,o r d c,133
all,r d c u,12
all,d c u r,87
all,c u r r,2923
all,u r r e,3028
all,r r e n,2233
all,r e n t,2591
all,e n t v,340
all,n t v a,124
all,t v a l,408
all,v a l u,2907
all,a l u s,429
all,l u s i,56
all,u s i x,2
all,s i x -,30
all,i x - d,5
all,x - d i,4
all,- d i m,222
all,d i m e,528
all,i m e n,2088
all,m e n s,530
all,e n s i,1318
all,n s i o,333
all,s i o n,1430
all,i o n m,357
all,o n m o,316
all,n m o t,132
all,o n d a,192
all,n d a t,423
all,a t a m,338
all,t a m i,193
all,a m i c,33
all,m i c h,4
all,i c h e,139
all,c h e l,35
all,h e l o,4
all,e l o g,68
all,l o g r,175
all,r a m w,44
all,a m w a,26
all,m w a r,28
all,w a r e,750
all,e c o m,2054
all,c o m p,11179
all,o m p o,2157
all,m p o s,776
all,p o s u,170
all,o s u s,108
all,s u s e,431
all,u s e r,1426
all,s e r e,785
all,e r e b,165
all,b i n l,60
all,i n l o,147
all,n l o r,5
all,l o r m,38
all,o r m o,695
all,r m o t,157
all,c t s i,413
all,t s i n,347
all,m w a g,5
all,w a g e,14
all,a g e n,968
all,g e n e,3076
all,e n e r,3542
all,n e r m,225
all,e r m o,874
all,e c t i,1817
all,c t i m,665
all,m a g b,67
all,a g b l,14
all,g b l u,4
all,b l u r,30
all,l u r a,182
all,u r a r,77
all,r a r t,91
all,a c t d,227
all,c t d u,159
all,t d u e,200
all,d u e m,45
all,u e m o,16
all,i o n w,128
all,o n w a,69
all,n w a r,13
all,a r e d,129
all,r e d u,2862
all,e d u c,1950
all,d u c s,358
all,u c s b,2
all,c s b m,2
all,f a u l,23586
all,a u l t,23592
all,u l t t,4131
all,l t t o,2720
all,t t o l,2781
all,t o l e,5542
all,o l e r,5676
all,l e r c,733
all,e r c o,3187
all,r c o n,3450
all,c o n t,6018
all,t r o l,3949
all,r o l a,333
all,o l a r,201
all,l a r c,269
all,a r c h,3309
all,r c h i,1835
all,c h i t,1629
all,h i t e,1890
all,i t e c,2182
all,t e c t,8714
all,e c t u,2157
all,c t u r,3759
all,t u r a,488
all,u r a u,46
all,r a u t,243
all,a u t o,2147
all,u t o m,1751
all,t o m h,27
all,o m h i,23
all,m h i g,200
all,h i g h,3450
all,i g h w,12
all,g h w a,11
all,h w a y,22
all,w a y s,91
all,a y s y,51
all,y s y s,69
all,t e m h,407
all,e m h i,87
all,m h i e,12
all,h i e r,278
all,i e r a,280
all,e r a r,530
all,r a r c,620
all,r c h c,106
all,c h c o,405
all,h c o n,269
all,r o l d,232
all,o l d e,367
all,l d e a,42
all,d e a l,512
all,e a l f,109
all,a l f a,357
all,l f a u,1762
all,u l t a,1257
all,l t a d,61
all,t a d v,133
all,a d v e,90
all,d v e r,216
all,v e r s,1397
all,e r s e,661
all,r s e n,325
all,s e n v,61
all,e n v i,1217
all,n v i r,1199
all,v i r o,1180
all,i r o n,1254
all,r o n m,408
all,o n m e,335
all,n m e n,104
all,m e n t,6512
all,e n t c,1251
all,n t c o,1028
all,t c o n,2864
all,c o n d,2530
all,o n d i,1616
all,n d i t,1340
all,d i t a,190
all,i t a u,42
all,t a u t,441
all,t e m p,1977
all,e m p r,681
all,m p r o,4035
all,p r o p,7461
all,r o p o,5961
all,o p o s,5875
all,p o s c,408
all,o s c o,489
all,s c o n,785
all,r o l e,375
